Банк ПСБ|Системный администратор инфраструктуры (Администратор СЗИ )|Москва, Полный рабочий день|Системный администратор, Средний (Middle), Системное администрирование, Администрирование Windows, Администрирование Linux, Сетевые технологии|2022-11-28T18:06:40+03:00|['null', 'null', 'null']|https://career.habr.com/vacancies/1000110847
Банк ПСБ|Аналитик L3 SOC (Threathunting)/Ведущий инженер|Москва, Полный рабочий день|Инженер по безопасности, Старший (Senior), SIEM, Разработка систем защиты информации, DNS, Сетевые технологии|2022-11-28T18:07:58+03:00|['null', 'null', 'null']|https://career.habr.com/vacancies/1000110846
Банк ПСБ|Администратор SIEM|Москва, Полный рабочий день|Администратор серверов, Средний (Middle), SIEM|2022-11-28T18:10:57+03:00|['null', 'null', 'null']|https://career.habr.com/vacancies/1000102997
Банк ПСБ|Системный аналитик (АБС/Платежи/Расчетные системы)|Москва, Полный рабочий день|Системный аналитик, Средний (Middle), Системный анализ, BPMN, UML, Анализ требований, Техническая документация|2022-11-28T18:11:18+03:00|['null', 'null', 'null']|https://career.habr.com/vacancies/1000109535
DatsTeam|Senior Java-разработчик|Полный рабочий день, Можно удаленно|Бэкенд разработчик, Старший (Senior), Java|2022-11-28T18:26:42+03:00|['null', 'null', 'null']|https://career.habr.com/vacancies/1000114836
DatsTeam|TeamLead DevOps Engineer|Полный рабочий день, Можно удаленно|Системный инженер, Ведущий (Lead), Linux|2022-11-28T18:26:42+03:00|['null', 'null', 'null']|https://career.habr.com/vacancies/1000114835
Группа «Самолет»|Инженер мониторинга (удаленно)|Полный рабочий день, Можно удаленно|Инженер технической поддержки, Средний (Middle), Zabbix, Grafana, Мониторинг, Shell scripting, Python, SQL|2022-11-28T18:27:23+03:00|['null', 'null', 'null']|https://career.habr.com/vacancies/1000114540
Лаборатория Касперского|Presales Manager|Москва, Полный рабочий день|Инженер по безопасности, Средний (Middle), Информационная безопасность, Pre-sale|2022-11-28T18:27:43+03:00|['null', 'null', 'null']|https://career.habr.com/vacancies/1000104604
ЛАНИТ|Аналитик 1С|Москва, Полный рабочий день|Бизнес-аналитик, Средний (Middle), Анализ требований, Разработка ТЗ, Автоматизация процессов|2022-11-28T18:27:48+03:00|['null', 'null', 'null']|https://career.habr.com/vacancies/1000109368
Лаборатория Касперского|SIEM Presale Manager|Москва, Полный рабочий день|Инженер по безопасности, Средний (Middle), Информационная безопасность|2022-11-28T18:29:30+03:00|['null', 'null', 'null']|https://career.habr.com/vacancies/1000104605
Bell Integrator|Специалист технической поддержки Банковского ПО|Москва, Полный рабочий день|Менеджер технической поддержки, Средний (Middle), SQL|2022-11-28T18:31:42+03:00|['null', 'null', 'null']|https://career.habr.com/vacancies/1000114538
Bell Integrator|Специалист поддержки DWH|Москва, Полный рабочий день|Менеджер технической поддержки, SQL, DWH, PostgreSQL, Техническая поддержка|2022-11-28T18:31:42+03:00|['null', 'null', 'null']|https://career.habr.com/vacancies/1000114539
Лаборатория Касперского|Presales Manager Sandbox|Москва, Полный рабочий день|Инженер по безопасности, Средний (Middle), Информационная безопасность|2022-11-28T18:32:14+03:00|['null', 'null', 'null']|https://career.habr.com/vacancies/1000104606
РТЛабс|Senior Java Developer|Можно удаленно|Бэкенд разработчик, Старший (Senior), Java, Java Spring Framework, Высоконагруженные системы, Проектирование архитектуры приложений|2022-11-28T18:33:06+03:00|['null', 'null', 'null']|https://career.habr.com/vacancies/1000100723
Лаборатория Касперского|Presales Manager АСУ ТП (KICS)|Москва, Полный рабочий день|Инженер по безопасности, Средний (Middle), Информационная безопасность|2022-11-28T18:34:13+03:00|['null', 'null', 'null']|https://career.habr.com/vacancies/1000104607
Лаборатория Касперского|Solution Architect (Presale Expert)|Москва, Полный рабочий день|Инженер по безопасности, Средний (Middle), Информационная безопасность|2022-11-28T18:36:51+03:00|['null', 'null', 'null']|https://career.habr.com/vacancies/1000104608
Fundraise Up|Head of Product Support 🔥|Полный рабочий день, Можно удаленно|Директор технической поддержки, Ведущий (Lead), Английский язык, Техническая поддержка, Поддержка клиентов, Построение команды, Управление людьми|2022-11-28T18:36:29+03:00|['3000', '4500', '$']|https://career.habr.com/vacancies/1000113600
